species,allom_species,wd_species,species_full
A.sonneratianum,P.maximum,,
A.triflorus,C.perforata,C.perforata,
A.glinoides,G.filiformis,G.filiformis,
A.thermarum,P.maximum,,
A.speciosa,A.speciosa,A.striata,
Asparaguscrassicladus,A.capensis,A.capensis,
A.striatus,A.capensis,A.capensis,
A.suavolens,A.capensis,A.capensis,
A.tetracantha,A.tetracantha,A.tetracantha,
B.pungens,B.capensis,,
B.capensis,B.capensis,,
B.oleoides,B.oleoides,B.oleoides,
B.ilicifolia,B.ilicifolia,P.capensis,
C.aphylla,E.mauritanica,E.coerulescens,
C.sepiaria,C.sepiaria,C.haematocarpa,
C.haematocarpa,C.haematocarpa,C.haematocarpa,
C.ciliaris,P.maximum,,
C.mucronatum,P.incana,P.incana,
C.ciliata,P.incana,P.incana,
C.capensis,E.rigida,E.rigida,
C.africana,P.maximum,,
C.zeyheri,P.incana,P.incana,
C.expansa,C.muscosa,C.mesembryanthemoides,
C.mesembryanthemoides,C.mesembryanthemoides,C.mesembryanthemoides,
C.muscosa,C.muscosa,C.muscosa,
C.ovata,C.ovata,,
C.perfoliata,C.perforata,C.perforata,
C.perforata,C.perforata,C.perforata,
C.rupestris,C.perforata,C.perforata,
C.tetragona,C.perforata,C.perforata,
C.quinatum,J.capensis,J.capensis,
D.hispidum,D.lique,D.lique,
D.lique,D.lique,D.lique,
E.amoena,E.rigida,E.rigida,
E.rigida,E.rigida,E.rigida,
E.scoparius,P.maximum,,
E.curvula,P.maximum,,
E.obtusa,P.maximum,,
E.undulata,E.undulata,E.undulata,
E.coerulescens,E.coerulescens,E.coerulescens,
E.lendieni,E.coerulescens,E.coerulescens,
E.mauritanica,E.mauritanica,E.coerulescens,
E.triangularis,E.triangularis,E.coerulescens,
F.filifolia,P.incana,P.incana,
G.filiformis,G.filiformis,G.filiformis,
G.robusta,G.robusta,G.robusta,
G.capitata,G.polyacantha,G.capitata,
G.polyacantha,G.polyacantha,G.polyacantha,
H.rosum,A.capensis,P.incana,
H.sp.,P.incana,P.incana,
I.sp.,A.capensis,P.incana,
I.ciliata,B.capensis,,
J.sp.,P.incana,P.incana,
J.multipartitum,C.haematocarpa,C.haematocarpa,
J.capensis,J.capensis,J.capensis,
J.cuneata,B.capensis,,
K.rotundifolia,C.perforata,C.perforata,
K.nana,J.capensis,J.capensis,
L.sp.,R.multiflora,R.multiflora,
L.capensis,P.incana,P.incana,
L.aethiopicum,G.filiformis,G.filiformis,
L.cinereum,L.cinereum,L.ferocissimum,
L.ferocissimum,L.ferocissimum,L.ferocissimum,
M.lutea,M.lutea,M.lutea,
M.guerichianum,M.guerichianum,M.guerichianum,
P.junceum,P.junceum,M.splendens,
M.splendens,P.junceum,R.multiflora,
M.spartioides,A.capensis,P.incana,
N.capensis,R.obovatum,G.polyacantha,
O.auriantica,C.mesembryanthemoides,E.coerulescens,
O.mucronata,P.auriculata,,
P.maximum.,P.maximum,,
P.capensis,P.capensis,P.capensis,
P.incana,P.incana,P.incana,
P.reticulatus,P.auriculata,,
P.afra,P.afra,P.afra,
P.obliquum,P.obliquum,P.capensis,
P.pyracantha,P.pyracantha,G.capitata,
R.obovatum,R.obovatum,G.polyacantha,
R.digitata,J.capensis,J.capensis,
R.multiflora,R.multiflora,R.multiflora,
S.elliptica,E.mauritanica,E.coerulescens,
S.hyacinthoides,C.velutina,A.striata,
S.viminale,E.mauritanica,E.coerulescens,
S.afra,S.afra,S.afra,
S.longispina,G.polyacantha,G.polyacantha,
S.pterota,G.polyacantha,S.longispina,
S.sp.,P.incana,P.incana,
Z.foetidum,P.auriculata,,
C.velutina,C.velutina,C.ovata,
G.nemorosa,G.polyacantha,G.capitata,
A.africanus,A.capensis,A.capensis,Asparagus africanus
A.capensis,A.capensis,A.capensis,Asparagus capensis
A.ferox,A.speciosa,A.striata,Aloe ferox
A.pluridens,A.speciosa,A.striata,Aloe pluridens
A.refractus,A.capensis,A.capensis,Asparagus refractus
A.racemosus,A.capensis,A.capensis,Asparagus racemosus
A.scandens,A.capensis,A.capensis,Asparagus scandens
A.semibaccata,none,,Atriplex semibaccata
Aloe sp1,A.striata,A.striata,Aloe sp1
