ID,degr_class,orig_species,canopy_width,canopy_length,height,species,plot_size,bsd,yc,yc_lc,yc_uc,area,vol
PV1,Intact,P.capensis,324,298,221,P.capensis,10,None,16.962204529006854,22.61627270534247,55.12716471927228,7.59644957619646,16.78815356339418
PV1,Intact,P.afra,182,264,232,P.afra,10,None,7.638818601371532,6.0473980594191294,42.17264436173866,3.905706526759171,9.061239142081275
PV1,Intact,A.racemosus,32,36,65,A.racemosus,10,None,0.006156630670637471,0.005130525558864559,0.032065784742903496,0.09079202768874502,0.059014817997684266
PV1,Intact,P.afra,204,162,208,P.afra,10,None,4.753811229562135,3.763433890070024,26.244999496540956,2.6302199094017147,5.470857411555566
PV1,Intact,P.afra,136,207,66,P.afra,10,None,1.430349609996521,1.1323601079139125,7.8967218051891255,2.3100327131386598,1.5246215906715155
PV1,Intact,P.afra,132,144,175,P.afra,10,None,2.3772934668161336,1.8820239945627726,13.12464101471407,1.4957122623741004,2.6174964591546757
PV1,Intact,P.afra,134,158,172,P.afra,10,None,2.6003658721840743,2.058622982145726,14.356186586016245,1.674154725098001,2.879546127168562
PV1,Intact,A.tetracantha,107,122,184,A.tetracantha,10,None,0.704818708172175,0.8076047697806172,2.6577538787325765,1.0296766271681395,1.8946049939893768
PV1,Intact,P.capensis,170,184,269,P.capensis,10,None,3.519866753728491,4.693155671637989,11.439566949617598,2.4605739061078657,6.618943807430158
PV1,Intact,C.ovata,95,132,141,C.ovata,10,None,1.5427128277726612,0.6749368621505393,14.945030519047657,1.011769549042678,1.4265950641501757
PV1,Intact,P.afra,122,148,198,P.afra,10,None,2.561811154316641,2.028100497167341,14.143332414456454,1.4313881527918495,2.834148542527862
PV1,Intact,P.afra,92,103,138,P.afra,10,None,0.9896220592022932,0.7834507968684822,5.463538451845993,0.7466191290796993,1.030334398129985
PV1,Intact,E.undulata,69,84,131,E.undulata,10,None,0.32927938023772546,0.34299935441429735,1.3788574047454751,0.4596346401742717,0.6021213786282958
PV1,Intact,P.afra,148,173,121,P.afra,10,None,2.2323673695653548,1.7672908342392393,12.324528186142063,2.0232053038659115,2.448078417677753
PV1,Intact,C.ovata,28,32,71,C.ovata,10,None,0.05880737445850108,0.025728226325594225,0.5696964400667293,0.07068583470577035,0.050186942641096945
PV1,Intact,E.undulata,128,137,216,E.undulata,10,None,1.3734286030381762,1.4306547948314337,5.751232275222363,1.3788646506146451,2.978347645327634
PV1,Intact,P.afra,192,210,189,P.afra,10,None,5.182472813511231,4.102790977363058,28.611568657926583,3.1730871199420307,5.997134656690438
PV1,Intact,P.capensis,31,34,146,P.capensis,10,None,0.03110537112280796,0.04147382816374395,0.10109245614912589,0.08295768100885548,0.121118214272929
PV1,Intact,P.afra,104,173,152,P.afra,10,None,2.0965870324022955,1.659798067318484,11.574907574721006,1.5065703919830702,2.2899869958142665
PV1,Intact,P.afra,84,173,121,P.afra,10,None,1.469638351585051,1.1634636950048323,8.113628399375802,1.2968690823559514,1.5692115896507013
PV1,Intact,A.racemosus,108,132,137,A.racemosus,10,None,0.11627585137648978,0.09689654281374149,0.6056033925858844,1.1309733552923256,1.549433496750486
PV1,Intact,P.afra,145,154,178,P.afra,10,None,2.8078544589951817,2.222884780037852,15.501696492369232,1.7553845301473818,3.1245844636623397
PV1,Intact,E.undulata,63,76,164,E.undulata,10,None,0.2565696585380696,0.2672600609771559,1.0743854451281665,0.37936694787505243,0.622161794515086
